municipio;taxa_anal
Aceguá;6,2
Água Santa;6
Agudo;7,3
Ajuricaba;5
Alecrim;6,8
Alegrete;5,5
Alegria;10,5
Almirante Tamandaré do Sul;4
Alpestre;11,9
Alto Alegre;9,1
Alto Feliz;1,8
Alvorada;3,8
Amaral Ferrador;12,8
Ametista do Sul;10,3
André da Rocha;6,2
Anta Gorda;5,7
Antônio Prado;4,7
Arambaré;8,4
Araricá;5,2
Aratiba;4,6
Arroio do Meio;1,6
Arroio do Padre;6,9
Arroio do Sal;4,1
Arroio do Tigre;6,9
Arroio dos Ratos;6,5
Arroio Grande;7,7
Arvorezinha;8,1
Augusto Pestana;3,7
Áurea;4,9
Bagé;5,1
Balneário Pinhal;5
Barão;3,3
Barão de Cotegipe;3,9
Barão do Triunfo;9,5
Barra do Guarita;10,6
Barra do Quaraí;8,9
Barra do Ribeiro;7,5
Barra do Rio Azul;9
Barra Funda;5,5
Barracão;8,3
Barros Cassal;13,6
Benjamin Constant do Sul;16,3
Bento Gonçalves;2,1
Boa Vista das Missões;7,2
Boa Vista do Buricá;1,6
Boa Vista do Cadeado;5,8
Boa Vista do Incra;5,8
Boa Vista do Sul;8
Bom Jesus;7,6
Bom Princípio;1,6
Bom Progresso;9,2
Bom Retiro do Sul;3
Boqueirão do Leão;11,1
Bossoroca;7,6
Bozano;3,7
Braga;13,8
Brochier;2,5
Butiá;9,4
Caçapava do Sul;8,6
Cacequi;7,6
Cachoeira do Sul;7,3
Cachoeirinha;2,7
Cacique Doble;10,4
Caibaté;6,4
Caiçara;7
Camaquã;7
Camargo;7,6
Cambará do Sul;6,3
Campestre da Serra;7,4
Campina das Missões;4,1
Campinas do Sul;4,4
Campo Bom;2,9
Campo Novo;12,6
Campos Borges;9
Candelária;8,3
Cândido Godói;3,3
Candiota;6
Canela;3,7
Canguçu;9,6
Canoas;2,6
Canudos do Vale;9,5
Capão Bonito do Sul;9,4
Capão da Canoa;3,4
Capão do Cipó;6
Capão do Leão;7,2
Capela de Santana;6
Capitão;4,3
Capivari do Sul;6,4
Caraá;12,3
Carazinho;3,9
Carlos Barbosa;3,1
Carlos Gomes;5,2
Casca;4,4
Caseiros;10,5
Catuípe;4,7
Caxias do Sul;2,3
Centenário;3,5
Cerrito;11,5
Cerro Branco;14,1
Cerro Grande;13,5
Cerro Grande do Sul;9,2
Cerro Largo;4,4
Chapada;4,2
Charqueadas;3,7
Charrua;13,4
Chiapetta;5,7
Chuí;1,4
Chuvisca;8,1
Cidreira;3,9
Ciríaco;8,1
Colinas;2,8
Colorado;3,9
Condor;5,2
Constantina;8,3
Coqueiro Baixo;5,9
Coqueiros do Sul;5,7
Coronel Barros;3,2
Coronel Bicaco;11,3
Coronel Pilar;5,2
Cotiporã;4,4
Coxilha;7,7
Crissiumal;5,5
Cristal;10
Cristal do Sul;10,6
Cruz Alta;4,5
Cruzaltense;6,4
Cruzeiro do Sul;3,2
David Canabarro;6,9
Derrubadas;8
Dezesseis de Novembro;10,8
Dilermando de Aguiar;14,2
Dois Irmãos;1,2
Dois Irmãos das Missões;14,3
Dois Lajeados;4,5
Dom Feliciano;12,2
Dom Pedrito;6
Dom Pedro de Alcântara;3,9
Dona Francisca;6,4
Doutor Maurício Cardoso;6,2
Doutor Ricardo;6,8
Eldorado do Sul;4,4
Encantado;3,1
Encruzilhada do Sul;10,3
Engenho Velho;9,7
Entre Rios do Sul;8,3
Entre-Ijuís;5,4
Erebango;6,9
Erechim;3,3
Ernestina;5,3
Erval Grande;10,8
Erval Seco;10,5
Esmeralda;8,9
Esperança do Sul;9,7
Espumoso;6,6
Estação;3,2
Estância Velha;2,8
Esteio;2,4
Estrela;2,7
Estrela Velha;8,6
Eugênio de Castro;6,1
Fagundes Varela;4,3
Farroupilha;2,7
Faxinal do Soturno;4,9
Faxinalzinho;10,1
Fazenda Vilanova;5,2
Feliz;0,9
Flores da Cunha;3,1
Floriano Peixoto;3,1
Fontoura Xavier;18,8
Formigueiro;11,3
Forquetinha;5,5
Fortaleza dos Valos;5,5
Frederico Westphalen;4,5
Garibaldi;2,2
Garruchos;12,1
Gaurama;3,5
General Câmara;10,7
Gentil;7
Getúlio Vargas;4,4
Giruá;6,5
Glorinha;7,8
Gramado;2,5
Gramado dos Loureiros;12,7
Gramado Xavier;9,8
Gravataí;3,1
Guabiju;3,7
Guaíba;3,9
Guaporé;2,9
Guarani das Missões;5,8
Harmonia;2,5
Herval;7,3
Herveiras;11,6
Horizontina;3,2
Hulha Negra;8,8
Humaitá;3,7
Ibarama;6,7
Ibiaçá;5,5
Ibiraiaras;5,6
Ibirapuitã;8,4
Ibirubá;3,8
Igrejinha;3,5
Ijuí;4
Ilópolis;6,9
Imbé;3,2
Imigrante;1,4
Independência;7,6
Inhacorá;12
Ipê;5,9
Ipiranga do Sul;3,1
Iraí;8,5
Itaara;5
Itacurubi;7,4
Itapuca;9,4
Itaqui;5,6
Itati;12,1
Itatiba do Sul;10,2
Ivorá;5,2
Ivoti;1,7
Jaboticaba;13,5
Jacuizinho;10,8
Jacutinga;7,5
Jaguarão;6,2
Jaguari;4,7
Jaquirana;9,9
Jari;7,8
Jóia;5,9
Júlio de Castilhos;5,2
Lagoa Bonita do Sul;12,1
Lagoa dos Três Cantos;1,4
Lagoa Vermelha;6,6
Lagoão;19,1
Lajeado;2,5
Lajeado do Bugre;16,8
Lavras do Sul;9,2
Liberato Salzano;11,8
Lindolfo Collor;3
Linha Nova;3,3
Maçambará;7,8
Machadinho;11,2
Mampituba;8,9
Manoel Viana;11
Maquiné;7,5
Maratá;3,4
Marau;2,6
Marcelino Ramos;5,6
Mariana Pimentel;6,6
Mariano Moro;7,1
Marques de Souza;7
Mata;7,7
Mato Castelhano;6,5
Mato Leitão;4,3
Mato Queimado;8,1
Maximiliano de Almeida;9
